,title,director,duration,rating,genre,type
121,Formula 1: Drive to Survive,-,40,8.6,"['Documentary', 'Sport']",show
122,Blackadder II,-,2:56,8.6,['Comedy'],show
123,Monster,-,24,8.7,"['Animation', 'Crime', 'Drama']",show
124,Peep Show,-,25,8.6,['Comedy'],show
125,The X Files,-,45,8.6,"['Crime', 'Drama', 'Mystery']",show
126,Parks and Recreation,-,22,8.6,['Comedy'],show
127,Yellowstone,-,1,8.8,"['Drama', 'Western']",show
128,Gomorra: La serie,-,55,8.7,"['Crime', 'Drama', 'Thriller']",show
129,Friday Night Lights,-,44,8.6,"['Drama', 'Sport']",show
130,Mindhunter,-,1,8.6,"['Crime', 'Drama', 'Thriller']",show
132,Le Bureau des Légendes,-,52,8.7,"['Drama', 'Thriller']",show
133,Father Ted,-,25,8.6,['Comedy'],show
134,Anne,-,1,8.7,"['Drama', 'Family']",show
135,Jujutsu Kaisen,-,24,8.7,"['Animation', 'Action', 'Adventure']",show
136,Dexter,-,53,8.6,"['Crime', 'Drama', 'Mystery']",show
137,The Haunting of Hill House,-,9:32,8.6,"['Drama', 'Horror', 'Mystery']",show
138,The Bugs Bunny Show,-,30,8.6,"['Animation', 'Comedy']",show
139,Westworld,-,1:2,8.6,"['Drama', 'Mystery', 'Sci-Fi']",show
140,Blackadder the Third,-,3,8.6,['Comedy'],show
141,Daredevil,-,54,8.6,"['Action', 'Crime', 'Drama']",show
142,This Is Us,-,45,8.6,"['Comedy', 'Drama', 'Romance']",show
143,Panchayat,-,35,8.8,"['Comedy', 'Drama']",show
